,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
145,944,659.0,944,1491.0,1443.0,,,,1356,1321.0,603.0,,,,1469.0,,,,,
146,953,768.0,953,591.0,1202.0,,,,1375,0.0,1107.0,,,,820.0,,,,,
147,956,1402.0,956,2044.0,1215.0,,,,1396,1291.0,185.0,,,,16.0,,,,,
148,958,1919.0,958,1725.0,214.0,,,,1401,1138.0,696.0,,,,759.0,,,,,
149,965,507.0,965,1886.0,617.0,,,,1407,1562.0,1381.0,,,,625.0,,,,,
150,970,1167.0,970,104.0,201.0,,,,1419,1303.0,1503.0,,,,335.0,,,,,
151,981,1081.0,981,1686.0,1203.0,,,,1431,2090.0,135.0,,,,223.0,,,,,
152,992,631.0,992,183.0,1613.0,,,,1444,1044.0,331.0,,,,301.0,,,,,
153,1000,1381.0,1000,275.0,58.0,,,,1447,1940.0,142.0,,,,162.0,,,,,
154,1007,1104.0,1007,502.0,865.0,,,,1460,805.0,1918.0,,,,1247.0,,,,,
155,1008,1705.0,1008,1037.0,981.0,,,,1471,608.0,305.0,,,,205.0,,,,,
156,1011,1224.0,1011,540.0,404.0,,,,1490,794.0,825.0,,,,26.0,,,,,
157,1030,141.0,1030,420.0,1580.0,,,,1496,1306.0,913.0,,,,199.0,,,,,
158,1034,1787.0,1034,1117.0,91.0,,,,1508,279.0,1884.0,,,,445.0,,,,,
159,1035,1811.0,1035,226.0,1687.0,,,,1538,1160.0,279.0,,,,192.0,,,,,
160,1039,705.0,1039,1978.0,1085.0,,,,1543,1233.0,289.0,,,,1198.0,,,,,
161,1047,1400.0,1047,499.0,544.0,,,,1545,54.0,139.0,,,,616.0,,,,,
162,1050,1716.0,1050,1690.0,295.0,,,,1546,925.0,229.0,,,,1697.0,,,,,
163,1053,908.0,1053,2076.0,173.0,,,,1568,1625.0,1667.0,,,,171.0,,,,,
164,1062,319.0,1062,2002.0,1847.0,,,,1602,113.0,2090.0,,,,1953.0,,,,,
165,1075,158.0,1075,940.0,211.0,,,,1616,716.0,678.0,,,,1260.0,,,,,
166,1082,1936.0,1082,1578.0,1947.0,,,,1643,1131.0,1334.0,,,,559.0,,,,,
167,1084,1129.0,1084,1748.0,1903.0,,,,1648,144.0,1086.0,,,,932.0,,,,,
168,1085,643.0,1085,6.0,1528.0,,,,1675,1660.0,277.0,,,,1863.0,,,,,
169,1093,1249.0,1093,1419.0,1837.0,,,,1694,1784.0,733.0,,,,248.0,,,,,
170,1097,1664.0,1097,1964.0,944.0,,,,1697,390.0,314.0,,,,1461.0,,,,,
171,1099,330.0,1099,1049.0,734.0,,,,1703,964.0,196.0,,,,861.0,,,,,
172,1106,1592.0,1106,1796.0,93.0,,,,1710,982.0,1940.0,,,,1782.0,,,,,
173,1116,2068.0,1116,1285.0,914.0,,,,1728,1939.0,1228.0,,,,1872.0,,,,,
174,1118,487.0,1118,697.0,775.0,,,,1756,1355.0,329.0,,,,566.0,,,,,
175,1120,327.0,1120,1258.0,1161.0,,,,1763,1081.0,1704.0,,,,1500.0,,,,,
176,1123,2037.0,1123,132.0,1575.0,,,,1773,1923.0,178.0,,,,626.0,,,,,
177,1124,1998.0,1124,1798.0,843.0,,,,1777,983.0,1331.0,,,,1728.0,,,,,
178,1128,546.0,1128,566.0,1680.0,,,,1779,780.0,1700.0,,,,1994.0,,,,,
179,1132,1744.0,1132,1675.0,1529.0,,,,1783,1279.0,1909.0,,,,907.0,,,,,
180,1136,1382.0,1136,165.0,231.0,,,,1820,698.0,1608.0,,,,177.0,,,,,
181,1137,2030.0,1137,153.0,919.0,,,,1832,135.0,563.0,,,,1571.0,,,,,
182,1145,647.0,1145,1873.0,1721.0,,,,1839,1318.0,922.0,,,,715.0,,,,,
183,1152,1313.0,1152,1607.0,198.0,,,,1846,1611.0,90.0,,,,600.0,,,,,
184,1161,1792.0,1161,710.0,1533.0,,,,1875,974.0,1876.0,,,,2128.0,,,,,
185,1163,1513.0,1163,1063.0,89.0,,,,1933,2061.0,1448.0,,,,605.0,,,,,
186,1166,413.0,1166,1710.0,992.0,,,,1959,2016.0,283.0,,,,695.0,,,,,
187,1182,1958.0,1182,1025.0,928.0,,,,1965,532.0,1919.0,,,,738.0,,,,,
188,1184,1429.0,1184,1317.0,1353.0,,,,1969,437.0,1641.0,,,,1887.0,,,,,
189,1192,511.0,1192,1470.0,745.0,,,,1977,1864.0,1657.0,,,,1449.0,,,,,
190,1194,2025.0,1194,1444.0,778.0,,,,1983,1681.0,642.0,,,,366.0,,,,,
191,1199,1774.0,1199,2074.0,1544.0,,,,1987,471.0,141.0,,,,1150.0,,,,,
192,1202,436.0,1202,2040.0,291.0,,,,1988,1655.0,1196.0,,,,2118.0,,,,,
193,1203,2061.0,1203,901.0,74.0,,,,2008,329.0,513.0,,,,553.0,,,,,
194,1210,665.0,1210,1393.0,889.0,,,,2034,1100.0,365.0,,,,881.0,,,,,
195,1213,876.0,1213,1595.0,1786.0,,,,2058,1667.0,974.0,,,,525.0,,,,,
196,1215,1862.0,1215,1871.0,718.0,,,,2082,955.0,1308.0,,,,504.0,,,,,
197,1218,557.0,1218,849.0,1519.0,,,,2087,1617.0,1862.0,,,,8.0,,,,,
198,1232,1298.0,1232,382.0,2013.0,,,,2098,702.0,31.0,,,,1393.0,,,,,
199,1250,676.0,1250,1366.0,593.0,,,,2130,1059.0,1647.0,,,,1948.0,,,,,
200,1252,1663.0,1252,485.0,360.0,,,,2131,1750.0,1620.0,,,,975.0,,,,,
201,1262,524.0,1262,1602.0,396.0,,,,2134,1503.0,1459.0,,,,1749.0,,,,,
202,1263,723.0,1263,1984.0,299.0,,,,6,1557.0,1830.0,,,,1464.0,,,,,
203,1264,402.0,1264,1098.0,868.0,,,,7,1516.0,1770.0,,,,1651.0,,,,,
204,1265,136.0,1265,318.0,1289.0,,,,9,1518.0,1389.0,,,,1756.0,,,,,
205,1275,1848.0,1275,1222.0,2015.0,,,,11,852.0,692.0,,,,791.0,,,,,
206,1277,668.0,1277,2066.0,1120.0,,,,12,871.0,1457.0,,,,1072.0,,,,,
207,1289,87.0,1289,1916.0,1372.0,,,,17,1999.0,573.0,,,,1040.0,,,,,
208,1292,342.0,1292,870.0,431.0,,,,20,417.0,54.0,,,,1074.0,,,,,
209,1310,159.0,1310,208.0,1776.0,,,,21,1637.0,2003.0,,,,1066.0,,,,,
210,1312,541.0,1312,536.0,1622.0,,,,26,1629.0,570.0,,,,1546.0,,,,,
211,1326,840.0,1326,1060.0,1035.0,,,,30,1620.0,1144.0,,,,1691.0,,,,,
212,1327,629.0,1327,1223.0,1715.0,,,,32,954.0,1328.0,,,,1644.0,,,,,
213,1332,1295.0,1332,757.0,1194.0,,,,33,1403.0,1122.0,,,,1760.0,,,,,
214,1346,1248.0,1346,741.0,742.0,,,,34,2120.0,890.0,,,,1531.0,,,,,
215,1347,1577.0,1347,1842.0,2019.0,,,,35,1522.0,1913.0,,,,771.0,,,,,
216,1349,641.0,1349,1911.0,267.0,,,,36,1554.0,954.0,,,,505.0,,,,,
217,1352,2045.0,1352,575.0,2071.0,,,,46,1164.0,1313.0,,,,150.0,,,,,
218,1353,2143.0,1353,2011.0,1766.0,,,,48,1313.0,88.0,,,,1079.0,,,,,
219,1361,1056.0,1361,150.0,421.0,,,,49,1810.0,1565.0,,,,384.0,,,,,
220,1362,619.0,1362,1176.0,855.0,,,,52,1224.0,1303.0,,,,1977.0,,,,,
221,1371,749.0,1371,1024.0,1132.0,,,,63,570.0,753.0,,,,1983.0,,,,,
222,1372,1378.0,1372,1345.0,1850.0,,,,64,1282.0,364.0,,,,1110.0,,,,,
223,1373,70.0,1373,809.0,1982.0,,,,73,1656.0,484.0,,,,1487.0,,,,,
224,1380,1507.0,1380,1421.0,2137.0,,,,76,643.0,2129.0,,,,1538.0,,,,,
225,1395,377.0,1395,1895.0,403.0,,,,86,187.0,1131.0,,,,1323.0,,,,,
226,1412,886.0,1412,352.0,1523.0,,,,103,1156.0,1304.0,,,,806.0,,,,,
